date,lag_10_day,lag_1_day,lag_2_day,lag_3_day,lag_4_day,lag_5_day,lag_6_day,lag_7_day,lag_8_day,lag_9_day
2013-10-09,0.0003072401172809348,0.009281110289012589,0.02279402473477317,0.010316130832812766,0.009465113160594327,0.021666477422404767,0.01712871794821256,-0.007526119267240451,0.004472490223883844,0.01108581341020805
2013-10-10,0.01108581341020805,0.019648019268361728,0.009281110289012589,0.02279402473477317,0.010316130832812766,0.009465113160594327,0.021666477422404767,0.01712871794821256,-0.007526119267240451,0.004472490223883844
2013-10-11,0.004472490223883844,0.02446876279553598,0.019648019268361728,0.009281110289012589,0.02279402473477317,0.010316130832812766,0.009465113160594327,0.021666477422404767,0.01712871794821256,-0.007526119267240451
2013-10-14,-0.007526119267240451,0.028299852186718343,0.02446876279553598,0.019648019268361728,0.009281110289012589,0.02279402473477317,0.010316130832812766,0.009465113160594327,0.021666477422404767,0.01712871794821256
2013-10-15,0.01712871794821256,0.030209641365288233,0.028299852186718343,0.02446876279553598,0.019648019268361728,0.009281110289012589,0.02279402473477317,0.010316130832812766,0.009465113160594327,0.021666477422404767
2013-10-16,0.021666477422404767,0.031103093103780875,0.030209641365288233,0.028299852186718343,0.02446876279553598,0.019648019268361728,0.009281110289012589,0.02279402473477317,0.010316130832812766,0.009465113160594327
2013-10-17,0.009465113160594327,0.03230798197654651,0.031103093103780875,0.030209641365288233,0.028299852186718343,0.02446876279553598,0.019648019268361728,0.009281110289012589,0.02279402473477317,0.010316130832812766
2013-10-18,0.010316130832812766,0.036055193043441965,0.03230798197654651,0.031103093103780875,0.030209641365288233,0.028299852186718343,0.02446876279553598,0.019648019268361728,0.009281110289012589,0.02279402473477317
2013-10-21,0.02279402473477317,0.04089778293030775,0.036055193043441965,0.03230798197654651,0.031103093103780875,0.030209641365288233,0.028299852186718343,0.02446876279553598,0.019648019268361728,0.009281110289012589
2013-10-22,0.009281110289012589,0.06431329194577785,0.04089778293030775,0.036055193043441965,0.03230798197654651,0.031103093103780875,0.030209641365288233,0.028299852186718343,0.02446876279553598,0.019648019268361728
2013-10-23,0.019648019268361728,0.05760575822230695,0.06431329194577785,0.04089778293030775,0.036055193043441965,0.03230798197654651,0.031103093103780875,0.030209641365288233,0.028299852186718343,0.02446876279553598
2013-10-24,0.02446876279553598,0.06359447236815181,0.05760575822230695,0.06431329194577785,0.04089778293030775,0.036055193043441965,0.03230798197654651,0.031103093103780875,0.030209641365288233,0.028299852186718343
2013-10-25,0.028299852186718343,0.0732419644012121,0.06359447236815181,0.05760575822230695,0.06431329194577785,0.04089778293030775,0.036055193043441965,0.03230798197654651,0.031103093103780875,0.030209641365288233
2013-10-28,0.030209641365288233,0.055725106766084415,0.0732419644012121,0.06359447236815181,0.05760575822230695,0.06431329194577785,0.04089778293030775,0.036055193043441965,0.03230798197654651,0.031103093103780875
2013-10-29,0.031103093103780875,0.058092680918789365,0.055725106766084415,0.0732419644012121,0.06359447236815181,0.05760575822230695,0.06431329194577785,0.04089778293030775,0.036055193043441965,0.03230798197654651
2013-10-30,0.03230798197654651,0.02720869023276315,0.058092680918789365,0.055725106766084415,0.0732419644012121,0.06359447236815181,0.05760575822230695,0.06431329194577785,0.04089778293030775,0.036055193043441965
2013-10-31,0.036055193043441965,0.04059787547732336,0.02720869023276315,0.058092680918789365,0.055725106766084415,0.0732419644012121,0.06359447236815181,0.05760575822230695,0.06431329194577785,0.04089778293030775
2013-11-01,0.04089778293030775,0.03176972269087115,0.04059787547732336,0.02720869023276315,0.058092680918789365,0.055725106766084415,0.0732419644012121,0.06359447236815181,0.05760575822230695,0.06431329194577785
2013-11-04,0.06431329194577785,0.022286221041356354,0.03176972269087115,0.04059787547732336,0.02720869023276315,0.058092680918789365,0.055725106766084415,0.0732419644012121,0.06359447236815181,0.05760575822230695
2013-11-05,0.05760575822230695,0.03204966360440071,0.022286221041356354,0.03176972269087115,0.04059787547732336,0.02720869023276315,0.058092680918789365,0.055725106766084415,0.0732419644012121,0.06359447236815181
2013-11-06,0.06359447236815181,0.024662169823382953,0.03204966360440071,0.022286221041356354,0.03176972269087115,0.04059787547732336,0.02720869023276315,0.058092680918789365,0.055725106766084415,0.0732419644012121
2013-11-07,0.0732419644012121,0.011792968067016843,0.024662169823382953,0.03204966360440071,0.022286221041356354,0.03176972269087115,0.04059787547732336,0.02720869023276315,0.058092680918789365,0.055725106766084415
2013-11-08,0.055725106766084415,-0.007753647023214332,0.011792968067016843,0.024662169823382953,0.03204966360440071,0.022286221041356354,0.03176972269087115,0.04059787547732336,0.02720869023276315,0.058092680918789365
2013-11-11,0.058092680918789365,0.0058537134485904824,-0.007753647023214332,0.011792968067016843,0.024662169823382953,0.03204966360440071,0.022286221041356354,0.03176972269087115,0.04059787547732336,0.02720869023276315
2013-11-12,0.02720869023276315,0.0004412960518510346,0.0058537134485904824,-0.007753647023214332,0.011792968067016843,0.024662169823382953,0.03204966360440071,0.022286221041356354,0.03176972269087115,0.04059787547732336
2013-11-13,0.04059787547732336,0.00022469049553337894,0.0004412960518510346,0.0058537134485904824,-0.007753647023214332,0.011792968067016843,0.024662169823382953,0.03204966360440071,0.022286221041356354,0.03176972269087115
2013-11-14,0.03176972269087115,-0.0004950770247515826,0.00022469049553337894,0.0004412960518510346,0.0058537134485904824,-0.007753647023214332,0.011792968067016843,0.024662169823382953,0.03204966360440071,0.022286221041356354
2013-11-15,0.022286221041356354,0.012311129973184117,-0.0004950770247515826,0.00022469049553337894,0.0004412960518510346,0.0058537134485904824,-0.007753647023214332,0.011792968067016843,0.024662169823382953,0.03204966360440071
2013-11-18,0.03204966360440071,0.0042830180146261315,0.012311129973184117,-0.0004950770247515826,0.00022469049553337894,0.0004412960518510346,0.0058537134485904824,-0.007753647023214332,0.011792968067016843,0.024662169823382953
2013-11-19,0.024662169823382953,-0.00824592012845747,0.0042830180146261315,0.012311129973184117,-0.0004950770247515826,0.00022469049553337894,0.0004412960518510346,0.0058537134485904824,-0.007753647023214332,0.011792968067016843
2013-11-20,0.011792968067016843,-0.006362594216806778,-0.00824592012845747,0.0042830180146261315,0.012311129973184117,-0.0004950770247515826,0.00022469049553337894,0.0004412960518510346,0.0058537134485904824,-0.007753647023214332
2013-11-21,-0.007753647023214332,-0.014527823891319522,-0.006362594216806778,-0.00824592012845747,0.0042830180146261315,0.012311129973184117,-0.0004950770247515826,0.00022469049553337894,0.0004412960518510346,0.0058537134485904824
2013-11-22,0.0058537134485904824,-0.001077468882961711,-0.014527823891319522,-0.006362594216806778,-0.00824592012845747,0.0042830180146261315,0.012311129973184117,-0.0004950770247515826,0.00022469049553337894,0.0004412960518510346
2013-11-25,0.0004412960518510346,-0.0031612637494519698,-0.001077468882961711,-0.014527823891319522,-0.006362594216806778,-0.00824592012845747,0.0042830180146261315,0.012311129973184117,-0.0004950770247515826,0.00022469049553337894
2013-11-26,0.00022469049553337894,0.005417554720080623,-0.0031612637494519698,-0.001077468882961711,-0.014527823891319522,-0.006362594216806778,-0.00824592012845747,0.0042830180146261315,0.012311129973184117,-0.0004950770247515826
2013-11-27,-0.0004950770247515826,0.02323182257304806,0.005417554720080623,-0.0031612637494519698,-0.001077468882961711,-0.014527823891319522,-0.006362594216806778,-0.00824592012845747,0.0042830180146261315,0.012311129973184117
2013-11-29,0.012311129973184117,0.04642792428520775,0.02323182257304806,0.005417554720080623,-0.0031612637494519698,-0.001077468882961711,-0.014527823891319522,-0.006362594216806778,-0.00824592012845747,0.0042830180146261315
2013-12-02,0.0042830180146261315,0.0633104980525733,0.04642792428520775,0.02323182257304806,0.005417554720080623,-0.0031612637494519698,-0.001077468882961711,-0.014527823891319522,-0.006362594216806778,-0.00824592012845747
2013-12-03,-0.00824592012845747,0.05024623514721943,0.0633104980525733,0.04642792428520775,0.02323182257304806,0.005417554720080623,-0.0031612637494519698,-0.001077468882961711,-0.014527823891319522,-0.006362594216806778
2013-12-04,-0.006362594216806778,0.07635455673598804,0.05024623514721943,0.0633104980525733,0.04642792428520775,0.02323182257304806,0.005417554720080623,-0.0031612637494519698,-0.001077468882961711,-0.014527823891319522
2013-12-05,-0.014527823891319522,0.06947345001354063,0.07635455673598804,0.05024623514721943,0.0633104980525733,0.04642792428520775,0.02323182257304806,0.005417554720080623,-0.0031612637494519698,-0.001077468882961711
2013-12-06,-0.001077468882961711,0.0702627341633923,0.06947345001354063,0.07635455673598804,0.05024623514721943,0.0633104980525733,0.04642792428520775,0.02323182257304806,0.005417554720080623,-0.0031612637494519698
2013-12-09,-0.0031612637494519698,0.049643150107498826,0.0702627341633923,0.06947345001354063,0.07635455673598804,0.05024623514721943,0.0633104980525733,0.04642792428520775,0.02323182257304806,0.005417554720080623
2013-12-10,0.005417554720080623,0.0575408377936609,0.049643150107498826,0.0702627341633923,0.06947345001354063,0.07635455673598804,0.05024623514721943,0.0633104980525733,0.04642792428520775,0.02323182257304806
2013-12-11,0.02323182257304806,0.051004571692866964,0.0575408377936609,0.049643150107498826,0.0702627341633923,0.06947345001354063,0.07635455673598804,0.05024623514721943,0.0633104980525733,0.04642792428520775
2013-12-12,0.04642792428520775,0.03859184077407971,0.051004571692866964,0.0575408377936609,0.049643150107498826,0.0702627341633923,0.06947345001354063,0.07635455673598804,0.05024623514721943,0.0633104980525733
2013-12-13,0.0633104980525733,0.03297784976290234,0.03859184077407971,0.051004571692866964,0.0575408377936609,0.049643150107498826,0.0702627341633923,0.06947345001354063,0.07635455673598804,0.05024623514721943
2013-12-16,0.05024623514721943,0.01851947136737101,0.03297784976290234,0.03859184077407971,0.051004571692866964,0.0575408377936609,0.049643150107498826,0.0702627341633923,0.06947345001354063,0.07635455673598804
2013-12-17,0.07635455673598804,0.021252327745372303,0.01851947136737101,0.03297784976290234,0.03859184077407971,0.051004571692866964,0.0575408377936609,0.049643150107498826,0.0702627341633923,0.06947345001354063
