,Date,Day,status_country,counts
383,11/23/2014,246,Cases_Nigeria,20.0
384,11/22/2014,245,Cases_Nigeria,
385,11/18/2014,241,Cases_Nigeria,20.0
386,11/16/2014,239,Cases_Nigeria,20.0
387,11/15/2014,238,Cases_Nigeria,
388,11/11/2014,234,Cases_Nigeria,20.0
389,11/10/2014,233,Cases_Nigeria,
390,11/9/2014,232,Cases_Nigeria,20.0
391,11/8/2014,231,Cases_Nigeria,
392,11/4/2014,227,Cases_Nigeria,20.0
393,11/3/2014,226,Cases_Nigeria,
394,11/2/2014,225,Cases_Nigeria,20.0
395,10/31/2014,222,Cases_Nigeria,
396,10/29/2014,220,Cases_Nigeria,20.0
397,10/27/2014,218,Cases_Nigeria,20.0
398,10/25/2014,216,Cases_Nigeria,
399,10/22/2014,214,Cases_Nigeria,
400,10/21/2014,213,Cases_Nigeria,
401,10/19/2014,211,Cases_Nigeria,20.0
402,10/18/2014,210,Cases_Nigeria,
403,10/14/2014,206,Cases_Nigeria,20.0
404,10/13/2014,205,Cases_Nigeria,
405,10/12/2014,204,Cases_Nigeria,20.0
406,10/11/2014,203,Cases_Nigeria,
407,10/8/2014,200,Cases_Nigeria,20.0
408,10/7/2014,199,Cases_Nigeria,
409,10/5/2014,197,Cases_Nigeria,20.0
410,10/4/2014,196,Cases_Nigeria,
411,10/1/2014,193,Cases_Nigeria,20.0
412,9/28/2014,190,Cases_Nigeria,20.0
413,9/23/2014,185,Cases_Nigeria,20.0
414,9/21/2014,183,Cases_Nigeria,20.0
415,9/20/2014,182,Cases_Nigeria,
416,9/19/2014,181,Cases_Nigeria,
417,9/17/2014,179,Cases_Nigeria,
418,9/14/2014,176,Cases_Nigeria,
419,9/13/2014,175,Cases_Nigeria,21.0
420,9/10/2014,172,Cases_Nigeria,21.0
421,9/9/2014,171,Cases_Nigeria,
422,9/7/2014,169,Cases_Nigeria,21.0
423,9/5/2014,167,Cases_Nigeria,22.0
424,8/31/2014,162,Cases_Nigeria,21.0
425,8/26/2014,157,Cases_Nigeria,17.0
426,8/20/2014,151,Cases_Nigeria,16.0
427,8/18/2014,149,Cases_Nigeria,15.0
428,8/16/2014,147,Cases_Nigeria,15.0
429,8/13/2014,144,Cases_Nigeria,12.0
430,8/11/2014,142,Cases_Nigeria,12.0
431,8/9/2014,140,Cases_Nigeria,13.0
432,8/6/2014,137,Cases_Nigeria,13.0
433,8/4/2014,135,Cases_Nigeria,9.0
434,8/1/2014,132,Cases_Nigeria,4.0
435,7/30/2014,129,Cases_Nigeria,3.0
436,7/27/2014,126,Cases_Nigeria,1.0
437,7/23/2014,123,Cases_Nigeria,0.0
438,7/20/2014,120,Cases_Nigeria,
439,7/17/2014,117,Cases_Nigeria,
440,7/14/2014,114,Cases_Nigeria,
441,7/12/2014,112,Cases_Nigeria,
442,7/8/2014,108,Cases_Nigeria,
443,7/6/2014,106,Cases_Nigeria,
444,7/2/2014,102,Cases_Nigeria,
445,6/30/2014,100,Cases_Nigeria,
446,6/22/2014,92,Cases_Nigeria,
447,6/20/2014,90,Cases_Nigeria,
448,6/19/2014,89,Cases_Nigeria,
449,6/18/2014,88,Cases_Nigeria,
450,6/17/2014,87,Cases_Nigeria,
451,6/16/2014,86,Cases_Nigeria,
452,6/10/2014,80,Cases_Nigeria,
